date,open,high,low,close,volume,spy,europe,eurusd,is_trading_day
2007-07-13,69.55,70.0,69.55,69.55,7855,154.85,79.32,1.3782,1
2007-07-16,70.25,70.3,70.25,70.25,4390,154.83,78.85,1.3771,1
2007-07-17,69.35,70.0,69.35,69.35,4285,154.75,78.9,1.3781,1
2007-07-18,69.65,69.8,69.65,69.65,5070,154.47,78.5,1.3802,1
2007-07-19,71.7,71.7,71.7,71.7,4436,155.07,78.61,1.3803,1
2007-07-20,70.8,70.95,70.8,70.8,1580,153.5,77.96,1.3827,1
2007-07-23,71.0,71.7,71.0,71.0,3830,153.97,78.27,1.3807,1
2007-07-24,71.0,71.0,71.0,71.0,2000,151.3,76.72,1.3823,1
2007-07-25,69.2,70.15,69.2,69.2,5070,151.61,76.59,1.3721,1
2007-07-26,68.0,68.7,68.0,68.0,3181,148.02,74.19,1.3746,1
2007-07-27,65.29,65.95,65.29,65.29,5700,145.11,72.65,1.3633,1
2007-07-30,66.8,66.8,66.8,66.8,5898,147.38,73.7,1.3696,1
2007-07-31,67.0,68.0,67.0,67.0,2660,145.72,74.16,1.3683,1
2007-08-01,66.7,66.9,66.7,66.7,4672,146.43,74.71,1.3666,1
2007-08-02,67.15,67.6,67.15,67.15,1533,147.6,74.75,1.3702,1
2007-08-03,65.5,66.3,65.5,65.5,1196,143.8,73.36,1.3773,1
2007-08-06,65.5,66.3,65.5,65.5,0,146.21,74.36,1.3793,1
2007-08-07,65.55,65.55,65.55,65.55,3104,147.77,74.64,1.3736,1
2007-08-08,68.05,68.6,68.05,68.05,1800,149.83,76.12,1.3797,1
2007-08-09,66.05,66.8,66.05,66.05,2150,145.39,73.21,1.3677,1
2007-08-10,63.5,64.7,63.5,63.5,5035,144.71,72.351,1.3692,1
2007-08-13,64.05,64.05,64.05,64.05,3715,145.23,72.43,1.3612,1
2007-08-14,62.0,62.55,62.0,62.0,3520,143.01,71.4399,1.3533,1
2007-08-15,58.0,60.05,58.0,58.0,9306,141.04,69.7,1.3441,1
2007-08-16,52.85,55.1,52.85,52.85,72490,142.1,69.13,1.3427,1
2007-08-17,55.96,56.6,55.96,55.96,11907,144.71,70.62,1.3475,1
2007-08-20,58.35,58.8,58.35,58.35,5237,144.64,70.45,1.3473,1
2007-08-21,62.0,63.05,62.0,62.0,6811,144.93,70.3,1.3465,1
2007-08-22,67.15,67.4,67.15,67.15,13888,146.65,72.2999,1.3543,1
2007-08-23,65.85,66.4,65.85,65.85,6095,146.52,72.18,1.3564,1
2007-08-24,68.4,68.4,68.4,68.4,1383,148.33,73.73,1.3674,1
2007-08-27,68.55,68.55,68.55,68.55,1872,146.95,73.29,1.3641,1
2007-08-28,64.8,67.3,64.8,64.8,4400,143.72,71.29,1.36,1
2007-08-29,66.35,66.4,66.35,66.35,6451,146.54,73.32,1.3674,1
2007-08-30,65.0,65.65,65.0,65.0,2040,146.15,72.86,1.3631,1
2007-08-31,67.4,67.95,67.4,67.4,655,147.59,74.36,1.3628,1
2007-09-04,68.4,68.4,68.4,68.4,1450,149.08,74.87,1.3604,1
2007-09-05,66.75,67.25,66.75,66.75,6900,147.79,73.86,1.365,1
2007-09-06,67.75,67.75,67.75,67.75,850,148.13,74.23,1.369,1
2007-09-07,65.35,66.65,65.35,65.35,2797,146.07,73.13,1.3767,1
2007-09-10,63.2,65.4,63.2,63.2,2150,145.79,72.55,1.3806,1
2007-09-11,66.2,66.2,66.2,66.2,300,147.49,74.3,1.3836,1
