,spy,europe,eurusd,is_trading_day
1999-11-01,135.5625,50.9,1.1978,1
1999-11-02,134.5937,50.9,1.1978,1
1999-11-03,135.5,50.9,1.1978,1
1999-11-04,136.5312,50.9,1.1978,1
1999-11-05,137.875,50.9,1.1978,1
1999-11-08,138.0,50.9,1.1978,1
1999-11-09,136.7031,50.9,1.1978,1
1999-11-10,137.7187,50.9,1.1978,1
1999-11-11,138.5,50.9,1.1978,1
1999-11-12,139.75,50.9,1.1978,1
1999-11-15,140.0781,50.9,1.1978,1
1999-11-16,141.25,50.9,1.1978,1
1999-11-17,141.625,50.9,1.1978,1
1999-11-18,142.625,50.9,1.1978,1
1999-11-19,142.5,50.9,1.1978,1
1999-11-22,142.4687,50.9,1.1978,1
1999-11-23,141.2187,50.9,1.1978,1
1999-11-24,141.9687,50.9,1.1978,1
1999-11-26,141.4375,50.9,1.1978,1
1999-11-29,140.9375,50.9,1.1978,1
1999-11-30,139.2812,50.9,1.1978,1
1999-12-01,140.4062,50.9,1.1978,1
1999-12-02,141.25,50.9,1.1978,1
1999-12-03,143.8437,50.9,1.1978,1
1999-12-06,142.7812,50.9,1.1978,1
1999-12-07,141.625,50.9,1.1978,1
1999-12-08,140.7187,50.9,1.1978,1
1999-12-09,141.4062,50.9,1.1978,1
1999-12-10,141.875,50.9,1.1978,1
1999-12-13,142.125,50.9,1.1978,1
1999-12-14,140.75,50.9,1.1978,1
1999-12-15,141.5,50.9,1.1978,1
1999-12-16,142.125,50.9,1.1978,1
1999-12-17,142.6875,50.9,1.1978,1
1999-12-20,141.6562,50.9,1.1978,1
1999-12-21,143.8125,50.9,1.1978,1
1999-12-22,144.1875,50.9,1.1978,1
1999-12-23,146.4843,50.9,1.1978,1
1999-12-27,146.2812,50.9,1.1978,1
1999-12-28,146.1875,50.9,1.1978,1
1999-12-29,146.8125,50.9,1.1978,1
1999-12-30,146.6406,50.9,1.1978,1
1999-12-31,146.875,50.9,1.1978,1
2000-01-03,145.4375,50.9,1.1978,1
2000-01-04,139.75,50.9,1.1978,1
2000-01-05,140.0,50.9,1.1978,1
2000-01-06,137.75,50.9,1.1978,1
2000-01-07,145.75,50.9,1.1978,1
2000-01-10,146.25,50.9,1.1978,1
2000-01-11,144.5,50.9,1.1978,1
2000-01-12,143.0625,50.9,1.1978,1
2000-01-13,145.0,50.9,1.1978,1
2000-01-14,146.9687,50.9,1.1978,1
2000-01-18,145.8125,50.9,1.1978,1
2000-01-19,147.0,50.9,1.1978,1
2000-01-20,144.75,50.9,1.1978,1
2000-01-21,144.4375,50.9,1.1978,1
2000-01-24,140.3437,50.9,1.1978,1
2000-01-25,141.9375,50.9,1.1978,1
2000-01-26,140.8125,50.9,1.1978,1
2000-01-27,140.25,50.9,1.1978,1
2000-01-28,135.875,50.9,1.1978,1
2000-01-31,139.5625,50.9,1.1978,1
2000-02-01,140.9375,50.9,1.1978,1
2000-02-02,141.0625,50.9,1.1978,1
2000-02-03,143.1875,50.9,1.1978,1
2000-02-04,142.5937,50.9,1.1978,1
2000-02-07,142.375,50.9,1.1978,1
2000-02-08,144.3125,50.9,1.1978,1
2000-02-09,141.2812,50.9,1.1978,1
2000-02-10,141.5625,50.9,1.1978,1
2000-02-11,138.6875,50.9,1.1978,1
2000-02-14,139.5,50.9,1.1978,1
2000-02-15,141.0781,50.9,1.1978,1
2000-02-16,139.0,50.9,1.1978,1
