,open,high,low,close,volume
2005-01-03,9.0,9.3,8.87,9.3,1150
2005-01-04,9.2,9.2,9.2,9.2,70
2005-01-05,9.24,9.24,9.08,9.08,700
2005-01-07,9.08,9.08,8.99,9.05,1700
2005-01-11,7.85,7.85,7.85,7.85,125
2005-01-12,8.9,8.9,8.9,8.9,7500
2005-01-13,8.93,8.93,8.93,8.93,3165
2005-01-14,8.9,8.9,8.9,8.9,1000
2005-01-20,9.2,9.2,9.2,9.2,250
2005-01-24,9.05,9.05,9.05,9.05,3400
2005-01-25,8.48,8.48,8.48,8.48,640
2005-01-26,8.35,8.35,8.35,8.35,520
2005-02-01,10.0,10.0,10.0,10.0,50
2005-02-02,9.95,9.95,9.95,9.95,450
2005-02-03,9.17,9.17,9.17,9.17,3490
2005-02-07,9.82,9.82,9.72,9.81,575
2005-02-10,9.5,9.5,9.5,9.5,635
2005-02-11,9.52,9.52,9.52,9.52,365
2005-02-15,9.85,10.05,9.82,10.05,800
2005-02-16,10.15,10.15,10.15,10.15,2860
2005-02-17,10.2,10.2,10.2,10.2,2500
2005-02-18,10.2,10.2,10.2,10.2,2500
2005-02-28,10.3,10.3,10.3,10.3,2850
2005-03-02,10.32,10.42,10.15,10.42,150
2005-03-03,10.84,10.84,10.84,10.84,500
2005-03-04,11.0,11.0,11.0,11.0,1500
2005-03-07,11.57,11.57,11.57,11.57,4000
2005-03-08,11.36,11.36,10.92,10.92,425
2005-03-09,10.92,11.43,10.92,11.15,900
2005-03-10,11.16,11.16,11.16,11.16,750
2005-03-11,11.09,11.09,10.64,10.92,50
2005-03-14,10.3,10.3,10.3,10.3,50
2005-03-15,11.44,11.44,11.44,11.44,970
2005-03-16,11.69,11.99,11.55,11.55,2200
2005-03-18,11.59,11.6,11.46,11.46,2500
2005-03-22,10.64,10.95,10.64,10.95,1250
2005-03-29,10.87,10.87,10.87,10.87,335
2005-03-30,10.95,10.95,10.95,10.95,1500
2005-04-04,11.12,11.12,11.12,11.12,1900
2005-04-05,11.0,11.0,11.0,11.0,3835
2005-04-06,11.31,11.31,11.31,11.31,1925
2005-04-07,11.0,11.0,11.0,11.0,325
2005-04-08,11.48,11.48,11.48,11.48,1500
2005-04-12,11.3,11.3,11.3,11.3,105
2005-04-13,10.98,11.04,10.98,11.04,1190
2005-04-19,11.3,11.3,11.3,11.3,145
2005-04-21,10.5,10.5,10.5,10.5,785
2005-04-29,10.5,10.5,10.5,10.5,210
2005-05-03,10.0,10.0,10.0,10.0,100
2005-05-04,9.88,10.17,9.88,10.1,2000
2005-05-09,10.44,10.44,10.44,10.44,75
2005-05-11,10.8,10.8,10.8,10.8,4950
2005-05-12,10.96,10.96,10.72,10.72,2160
2005-05-13,11.0,11.0,11.0,11.0,1500
2005-05-16,11.0,11.0,11.0,11.0,1000
2005-05-17,11.0,11.0,11.0,11.0,315
2005-05-18,11.16,11.99,11.16,11.99,2250
2005-05-19,11.68,11.68,11.68,11.68,500
2005-05-23,10.8,10.8,10.8,10.8,320
2005-05-24,12.5,12.5,12.5,12.5,3250
2005-05-26,13.0,13.0,13.0,13.0,395
2005-05-27,13.63,13.63,13.13,13.13,4050
2005-05-30,13.13,13.13,13.13,13.13,2500
2005-05-31,14.5,14.5,14.5,14.5,1885
