,open,high,low,close,volume
2007-08-31,66.7,68.6,52.85,67.4,169260
2007-09-28,68.4,80.25,63.2,78.7,78338
2007-10-31,78.25,90.0,78.1,89.5,170325
2007-11-30,88.45,105.25,81.15,95.75,124341
2007-12-31,98.5,109.25,93.0,108.45,106424
2008-01-31,107.25,110.25,82.1,94.75,153939
2008-02-29,98.75,110.55,97.85,104.3,79027
2008-03-31,104.3,105.9,104.3,104.3,0
2008-04-30,104.3,105.9,104.3,104.3,0
2008-05-30,104.3,105.9,104.3,104.3,0
2008-06-30,104.3,105.9,104.3,104.3,0
2008-07-31,104.3,105.9,104.3,104.3,0
2008-08-29,104.3,105.9,104.3,104.3,0
2008-09-30,104.3,105.9,104.3,104.3,0
2008-10-31,104.3,105.9,31.82,43.0,103821
2008-11-28,44.0,57.0,32.9,45.25,355380
2008-12-31,43.14,60.0,41.3,59.0,1058524
2009-01-30,60.3,65.95,48.35,49.85,182210
2009-02-27,46.3,53.85,42.87,44.85,126034
2009-03-31,42.05,47.0,37.0,44.75,191656
2009-04-30,45.69,66.33,45.47,64.0,198896
2009-05-29,66.8,79.5,65.9,72.25,161254
2009-06-30,73.3,76.2,65.0,71.1,113652
2009-07-31,71.85,75.0,64.41,71.5,122265
2009-08-31,70.18,76.55,68.35,71.25,109335
2009-09-30,72.4,78.85,69.5,72.0,69715
2009-10-30,69.44,72.9,62.75,70.0,152906
2009-11-30,69.97,78.05,68.85,70.5,81676
2009-12-31,71.05,71.9,57.03,61.0,489181
2010-01-29,63.35,65.18,51.15,52.25,6164783
2010-02-26,64.3,64.66,48.75,49.3,15573544
2010-03-31,64.3,64.66,48.15,54.25,23104330
2010-04-30,64.3,64.66,48.15,60.85,23520503
2010-05-28,64.3,64.66,48.15,49.9,15837484
2010-06-30,64.3,64.66,48.15,49.9,0
2010-07-30,64.3,64.66,48.15,49.9,0
2010-08-31,64.3,64.66,48.15,49.9,0
2010-09-30,64.3,64.66,48.15,49.9,0
2010-10-29,64.3,64.66,48.15,49.9,0
2010-11-30,64.3,64.66,48.15,49.9,0
2010-12-31,64.3,64.66,48.15,49.9,0
2011-01-31,64.3,64.66,48.15,49.9,0
2011-02-28,64.3,64.66,48.15,49.9,0
2011-03-31,64.3,64.66,48.15,49.9,0
2011-04-29,64.3,64.66,34.62,35.69,84277
2011-05-31,35.87,35.87,27.4,30.2,107519
2011-06-30,29.62,29.9,21.15,23.45,131814
2011-07-29,25.0,25.45,21.76,21.95,60973
2011-08-31,22.3,22.37,17.0,20.81,172338
2011-09-30,20.9,21.1,14.79,16.26,131297
2011-10-31,15.89,21.39,14.64,15.79,112056
2011-11-30,14.93,15.55,12.22,13.23,328347
2011-12-30,13.35,13.8,10.06,10.62,375083
2012-01-31,11.96,12.23,9.48,11.26,134544
2012-02-29,11.27,13.12,9.12,10.28,157660
2012-03-30,10.15,11.57,9.38,10.18,67122
2012-04-30,9.84,9.98,8.54,8.91,82738
2012-05-31,8.83,9.27,6.17,6.17,164193
2012-06-29,5.8475,5.8475,4.7625,5.55,75919
2012-07-31,5.0125,5.07,3.99,4.65,64986
2012-08-31,4.5,7.05,4.27,7.0,63904
2012-09-28,8.11,8.21,5.83,6.99,141984
2012-10-31,6.95,6.98,5.2,5.66,78510
2012-11-30,5.43,5.63,4.07,4.79,100161
2012-12-31,5.09,6.43,5.02,5.76,109741
2013-01-31,6.16,7.525,5.98,5.991,52925
2013-02-28,6.22,7.66,6.16,7.1,63669
2013-03-28,7.08,8.41,6.96,7.72,52863
2013-04-30,7.75,8.59,7.43,8.57,31865
2013-05-31,8.79,14.95,8.79,14.82,100038
2013-06-28,14.04,14.27,12.25,14.21,38863
2013-07-31,14.09,20.429,13.96,20.3,142818
2013-08-30,21.32,22.48,17.7797,18.66,152769
2013-09-30,19.2,25.53,19.12,25.2,157645
2013-10-31,26.35,28.74,25.49,26.76,135925
2013-11-29,27.61,30.4,25.9,28.6,83456
2013-12-31,28.1899,29.77,25.138,29.7,45850
2014-01-31,31.1615,36.02,29.98,32.9,192032
2014-02-28,33.32,36.4,30.25,36.1196,51534
2014-03-31,34.6,40.9,34.2,40.1599,107350
2014-04-30,42.01,44.3428,39.77,44.3428,94062
2014-05-30,44.84,53.7,44.42,53.57,159426
2014-06-30,53.23,55.01,48.11,50.43,128636
2014-07-31,49.9,50.21,45.0301,45.2899,112358
2014-08-29,44.81,49.4,42.02,42.061,145251
2014-09-30,41.39,42.866,38.63,38.89,29018
2014-10-31,38.15,38.15,29.24,33.366,109938
2014-11-28,34.71,40.62,33.65,37.05,58702
2014-12-31,35.69,39.5,35.3,36.515,29213
2015-01-30,38.47,39.8,34.92,38.7722,35124
2015-02-27,40.12,44.11,39.75,42.104,28026
2015-03-31,41.661,43.2892,40.15,41.09,17941
2015-04-30,42.43,45.78,42.43,45.08,35328
2015-05-29,45.6,51.2501,45.5,51.0,47943
2015-06-29,48.12,51.03,47.65,49.65,82476
2015-07-31,51.81,57.75,48.59,54.66,77186
2015-08-31,56.71,57.75,49.15,53.7999,64401
2015-09-30,52.8025,53.96,49.1,51.46,24878
2015-10-30,52.16,58.46,52.16,58.3,42145
2015-11-30,59.15,65.34,56.79,65.1,120840
2015-12-31,65.41,70.97,64.73,70.33,91832
2016-01-29,69.98,69.98,59.13,65.35,109109
2016-02-29,65.57,68.86,56.15,67.595,46769
2016-03-31,68.53,71.79,65.15,71.1,78594
2016-04-29,70.39,71.7,65.0,71.18,42329
2016-05-31,70.47,71.7,66.21,70.34,23116
2016-06-30,71.21,72.57,61.73,68.59,45861
2016-07-29,68.53,69.75,64.84,69.35,27661
2016-08-31,69.495,86.32,68.41,82.97,64325
2016-09-30,83.8,85.652,81.14,82.55,41929
2016-10-31,82.67,84.5,76.55,79.9557,47494
2016-11-30,80.18,80.18,61.46,65.55,121168
2016-12-30,64.9173,65.2675,55.95,65.2675,142690
2017-01-31,67.36,69.945,65.35,69.772,26995
2017-02-28,72.67,75.5,70.87,73.81,2683998
2017-03-31,74.79,82.0,74.0,81.96,3330000
2017-04-28,81.4,86.06,80.27,86.06,141721
2017-05-31,86.5,92.1,85.96,88.62,41760
2017-06-30,88.32,93.31,86.65,92.2,31028
2017-07-31,92.2,98.63,92.2,97.87,26826
2017-08-31,96.87,97.99,89.52,90.95,41137
2017-09-29,92.13,92.3,86.53,90.35,95663
2017-10-31,88.67,91.56,84.73,88.43,21907
2017-11-30,89.05,89.05,57.51,64.21,122558
2017-12-29,61.33,70.71,58.01,69.21,177335
2018-01-31,71.34,72.87,66.02,68.48,47772
2018-02-28,69.07,74.35,65.06,72.6,37211
2018-03-29,72.6,73.95,70.6,71.92,27223
2018-04-30,71.5,73.5,64.52,64.52,57728
2018-05-31,64.88,71.67,63.83,65.52,36588
2018-06-29,65.52,66.18,59.73,61.74,44811
2018-07-31,60.34,65.99,59.8,64.55,25176
2018-08-31,64.1,72.1,59.75,69.37,27955
2018-09-28,66.45,68.59,64.76,67.52,28208
2018-10-31,66.09,66.09,60.77,61.63,23276
2018-11-30,61.63,75.42,61.45,74.65,41681
2018-12-31,77.21,80.15,74.29,75.59,31184
2019-01-31,76.075,83.52,75.0,83.16,24609
2019-02-28,83.16,84.77,76.39,83.45,19206
2019-03-29,83.45,87.11,79.55,84.25,23344
2019-04-30,86.48,92.14,86.48,90.85,21586
2019-05-31,90.25,90.75,81.5,81.5,20860
2019-06-28,81.5,90.25,80.5,85.91,29734
2019-07-31,88.82,89.87,81.5,81.5,21875
2019-08-30,83.85,83.85,72.32,73.7,34391
2019-09-30,73.7,83.67,73.7,77.69,29995
2019-10-31,78.11,82.22,75.54,79.88,26483
2019-11-29,83.5,95.74,80.96,95.74,29961
2019-12-31,97.34,103.05,96.54,100.72,27371
2020-01-31,99.5,101.22,94.18,99.26,30794
2020-02-28,99.26,106.76,94.86,96.0,33539
2020-03-31,98.02,105.75,68.64,81.38,52057
2020-04-30,79.0,88.77,79.0,84.42,28413
2020-05-29,84.42,102.69,83.0,102.1,30271
2020-06-30,102.55,110.0,99.05,102.6,27931
2020-07-31,102.6,135.0,102.6,127.95,40469
2020-08-31,127.95,153.2,127.95,151.2,16002
2020-09-30,151.24,162.75,143.8,162.413,28769
2020-10-30,164.625,183.5,160.15,171.45,36570
2020-11-30,167.0,206.9,167.0,206.9,37840
2020-12-31,200.76,246.5,194.43,234.35,41862
2021-01-29,243.4,261.61,210.6,214.7475,74839
2021-02-26,215.0,224.05,183.5,194.75,52954
2021-03-31,190.31,209.84,164.38,209.34,62424
2021-04-30,206.45,218.69,41.04,41.04,88295
2021-05-28,40.358,42.41,35.0,39.1,292547
2021-06-30,40.25,40.95,33.9,39.92,183759
2021-07-30,40.15,41.53,34.94,37.69,129856
2021-08-31,38.7237,42.15,35.925,40.59,175337
2021-09-30,41.3813,43.2,38.13,40.465,109373
2021-10-29,40.58,44.38,34.2,43.37,128628
2021-11-30,43.53,43.72,31.77,33.6,209940
2021-12-31,32.5601,33.27,28.4,29.8,211388
2022-01-31,29.76,30.5,25.13,26.9425,255994
2022-02-28,26.03,33.57,24.36,31.771,210738
2022-03-31,32.1119,36.0,27.28,29.53,327760
2022-04-29,30.74,33.09,24.68,25.66,75761
2022-05-31,24.0199,26.34,19.9901,25.553,232902
2022-06-30,25.46,26.8225,20.77,21.0325,130078
2022-07-29,22.1715,26.27,21.29,26.16,92101
2022-08-31,25.83,28.02,24.65,25.46,99038
2022-09-30,24.36,25.71,18.06,18.5425,77783
2022-10-31,18.34,20.6019,17.08,20.1,110123
2022-11-30,20.1,26.07,19.825,25.5,282478
2022-12-30,25.75,29.7,24.8,28.88,120677
2023-01-31,28.47,31.61,27.3575,28.99,241872
2023-02-28,28.973,31.1775,27.99,28.515,110725
2023-03-31,29.6825,30.41,26.8,28.962,85104
2023-04-28,29.44,29.863,26.35,27.5925,80992
2023-05-31,28.2702,30.81,27.19,28.55,60562
2023-06-30,29.26,29.8925,25.9025,26.49,74447
2023-07-31,25.97,28.65,25.5634,26.845,45856
2023-08-31,26.64,26.8,22.34,23.12,117292
2023-09-29,24.2699,24.2699,20.33,21.21,110054
2023-10-31,20.78,22.455,18.81,21.57,234791
2023-11-30,21.33,27.77,21.19,27.65,182285
2023-12-29,27.7099,32.15,26.03,31.725,113076
2024-01-31,31.1099,31.11,27.11,28.09,57605
2024-02-29,28.44,29.15,25.6329,27.8975,44768
2024-03-28,28.49,29.4599,27.1174,27.575,136805
2024-04-30,28.0,28.0,24.8901,27.1275,188568
2024-05-31,25.575,29.69,24.9,27.905,154196
2024-06-28,28.45,28.85,22.91,22.91,48537
2024-07-31,23.8299,24.87,21.5501,24.685,64023
2024-08-30,24.8175,25.0,22.25,22.965,360029
2024-09-30,22.805,24.5,21.36,21.6,238290
2024-10-31,20.97,21.11,18.13,18.73,105004
2024-11-29,19.2501,19.997,13.5625,15.52,683502
2024-12-31,15.54,15.73,12.9701,13.5075,229413
2025-01-31,14.24,14.75,12.57,13.755,150022
2025-02-28,12.77,15.24,12.77,13.86,113817
2025-03-31,14.34,17.3,13.5,13.6,123137
2025-04-09,14.23,14.764,12.1,12.81,35418
