,open,high,low,close,volume,is_trading_day,days_since_last_trading,pct_change
2005-01-03,9.0,9.3,8.87,9.3,1150,1,0.0,0.0
2005-01-04,9.2,9.2,9.2,9.2,70,1,1.0,-1.0752688172043112
2005-01-05,9.24,9.24,9.08,9.08,700,1,1.0,-1.304347826086949
2005-01-07,9.08,9.08,8.99,9.05,1700,1,2.0,-0.3303964757709221
2005-01-11,7.85,7.85,7.85,7.85,125,1,4.0,-13.259668508287303
2005-01-12,8.9,8.9,8.9,8.9,7500,1,1.0,13.375796178343968
2005-01-13,8.93,8.93,8.93,8.93,3165,1,1.0,0.3370786516853963
2005-01-14,8.9,8.9,8.9,8.9,1000,1,1.0,-0.33594624860021627
2005-01-20,9.2,9.2,9.2,9.2,250,1,6.0,3.3707865168539186
2005-01-24,9.05,9.05,9.05,9.05,3400,1,4.0,-1.6304347826086807
2005-01-25,8.48,8.48,8.48,8.48,640,1,1.0,-6.2983425414364635
2005-01-26,8.35,8.35,8.35,8.35,520,1,1.0,-1.5330188679245405
2005-02-01,10.0,10.0,10.0,10.0,50,1,6.0,19.760479041916177
2005-02-02,9.95,9.95,9.95,9.95,450,1,1.0,-0.5000000000000115
2005-02-03,9.17,9.17,9.17,9.17,3490,1,1.0,-7.839195979899493
2005-02-07,9.82,9.82,9.72,9.81,575,1,4.0,6.979280261723009
2005-02-10,9.5,9.5,9.5,9.5,635,1,3.0,-3.1600407747196746
2005-02-11,9.52,9.52,9.52,9.52,365,1,1.0,0.21052631578946102
2005-02-15,9.85,10.05,9.82,10.05,800,1,4.0,5.567226890756305
2005-02-16,10.15,10.15,10.15,10.15,2860,1,1.0,0.995024875621886
2005-02-17,10.2,10.2,10.2,10.2,2500,1,1.0,0.49261083743841194
2005-02-18,10.2,10.2,10.2,10.2,2500,1,1.0,0.0
2005-02-28,10.3,10.3,10.3,10.3,2850,1,10.0,0.9803921568627638
2005-03-02,10.32,10.42,10.15,10.42,150,1,2.0,1.1650485436893065
2005-03-03,10.84,10.84,10.84,10.84,500,1,1.0,4.0307101727447225
2005-03-04,11.0,11.0,11.0,11.0,1500,1,1.0,1.4760147601476037
2005-03-07,11.57,11.57,11.57,11.57,4000,1,3.0,5.181818181818176
2005-03-08,11.36,11.36,10.92,10.92,425,1,1.0,-5.61797752808989
2005-03-09,10.92,11.43,10.92,11.15,900,1,1.0,2.106227106227121
2005-03-10,11.16,11.16,11.16,11.16,750,1,1.0,0.08968609865471766
2005-03-11,11.09,11.09,10.64,10.92,50,1,1.0,-2.1505376344086002
2005-03-14,10.3,10.3,10.3,10.3,50,1,3.0,-5.677655677655668
2005-03-15,11.44,11.44,11.44,11.44,970,1,1.0,11.067961165048533
2005-03-16,11.69,11.99,11.55,11.55,2200,1,1.0,0.9615384615384803
2005-03-18,11.59,11.6,11.46,11.46,2500,1,2.0,-0.7792207792207795
2005-03-22,10.64,10.95,10.64,10.95,1250,1,4.0,-4.450261780104725
2005-03-29,10.87,10.87,10.87,10.87,335,1,7.0,-0.7305936073059405
2005-03-30,10.95,10.95,10.95,10.95,1500,1,1.0,0.7359705611775569
2005-04-04,11.12,11.12,11.12,11.12,1900,1,5.0,1.552511415525104
2005-04-05,11.0,11.0,11.0,11.0,3835,1,1.0,-1.0791366906474753
2005-04-06,11.31,11.31,11.31,11.31,1925,1,1.0,2.8181818181818308
2005-04-07,11.0,11.0,11.0,11.0,325,1,1.0,-2.7409372236958496
2005-04-08,11.48,11.48,11.48,11.48,1500,1,1.0,4.3636363636363695
2005-04-12,11.3,11.3,11.3,11.3,105,1,4.0,-1.5679442508710784
2005-04-13,10.98,11.04,10.98,11.04,1190,1,1.0,-2.300884955752225
2005-04-19,11.3,11.3,11.3,11.3,145,1,6.0,2.3550724637681375
2005-04-21,10.5,10.5,10.5,10.5,785,1,2.0,-7.079646017699126
2005-04-29,10.5,10.5,10.5,10.5,210,1,8.0,0.0
2005-05-03,10.0,10.0,10.0,10.0,100,1,4.0,-4.761904761904767
2005-05-04,9.88,10.17,9.88,10.1,2000,1,1.0,1.0000000000000009
2005-05-09,10.44,10.44,10.44,10.44,75,1,5.0,3.3663366336633693
2005-05-11,10.8,10.8,10.8,10.8,4950,1,2.0,3.4482758620689724
2005-05-12,10.96,10.96,10.72,10.72,2160,1,1.0,-0.7407407407407418
2005-05-13,11.0,11.0,11.0,11.0,1500,1,1.0,2.6119402985074647
