,open,high,low,close,volume
2005-01-14,7.85,8.93,7.85,8.9,11790
2005-01-20,9.2,9.2,9.2,9.2,250
2005-01-26,9.05,9.05,8.35,8.35,4560
2005-02-03,10.0,10.0,9.17,9.17,3990
2005-02-07,9.82,9.82,9.72,9.81,575
2005-02-11,9.5,9.52,9.5,9.52,1000
2005-02-18,9.85,10.2,9.82,10.2,8660
2005-03-04,10.3,11.0,10.15,11.0,5000
2005-03-11,11.57,11.57,10.64,10.92,6125
2005-03-18,10.3,11.99,10.3,11.46,5720
2005-03-22,10.64,10.95,10.64,10.95,1250
2005-03-30,10.87,10.95,10.87,10.95,1835
2005-04-08,11.12,11.48,11.0,11.48,9485
2005-04-13,11.3,11.3,10.98,11.04,1295
2005-04-21,11.3,11.3,10.5,10.5,930
2005-04-29,10.5,10.5,10.5,10.5,210
2005-05-04,10.0,10.17,9.88,10.1,2100
2005-05-13,10.44,11.0,10.44,11.0,8685
2005-05-19,11.0,11.99,11.0,11.68,4065
2005-05-27,10.8,13.63,10.8,13.13,8015
2005-06-03,13.13,14.5,12.81,14.0,13090
2005-06-10,13.33,14.85,13.33,14.85,6435
2005-06-15,14.9,14.9,14.41,14.71,1725
2005-06-24,14.9,15.0,14.37,14.37,18755
2005-07-01,13.5,14.88,13.0,14.88,4900
2005-07-07,13.4,13.9,13.4,13.4,7100
2005-07-15,14.4,14.4,13.0,13.0,5415
2005-07-22,14.5,14.5,13.36,13.81,3585
2005-07-29,13.69,15.0,13.69,15.0,5425
2005-08-05,15.65,16.5,15.6,15.6,19110
2005-08-12,15.8,15.8,15.0,15.7,10975
2005-08-19,15.15,15.7,15.15,15.25,1825
2005-08-26,15.0,15.0,15.0,15.0,3750
2005-09-02,16.6,17.53,16.6,17.53,23540
2005-09-09,17.8,18.61,17.57,18.01,25715
2005-09-16,18.0,18.2,17.43,17.43,10780
2005-09-23,17.0,18.16,17.0,17.73,2785
2005-09-30,18.0,20.22,17.96,20.22,10040
2005-10-07,20.22,20.7,20.0,20.0,17755
2005-10-13,20.25,21.0,19.25,19.25,3610
2005-10-21,19.06,19.06,17.11,17.11,6725
2005-10-28,17.88,18.8,17.57,17.57,8585
2005-11-04,17.0,19.35,17.0,19.35,2640
2005-11-11,19.2,19.66,19.2,19.33,10760
2005-11-18,19.3,19.95,18.45,19.9,7700
