,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree_method,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.011104393005371093,0.0022612620534197005,0.0,0.0,gpu_hist,0.8,1.5,0.0,5000,3,4,0.0001,0.5,0.9,0.7,"{'tree_method': 'gpu_hist', 'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 5000, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.0001, 'gamma': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7}",,,,,,,,,,,,,84
1,0.009313368797302246,0.005249851074847509,0.0,0.0,gpu_hist,0.7,0.5,1.0,5000,5,3,0.0001,0.1,0.8,0.9,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 5000, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.0001, 'gamma': 0.1, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9}",,,,,,,,,,,,,84
2,0.009133529663085938,0.003985396997861886,0.0,0.0,gpu_hist,0.7,1.0,1.0,3000,3,5,0.0005,0.01,0.8,0.8,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 3000, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.0005, 'gamma': 0.01, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8}",,,,,,,,,,,,,84
3,0.008098649978637695,0.004060410936668316,0.0,0.0,gpu_hist,1.0,1.0,2.0,5000,10,2,0.001,0.3,0.9,0.6,"{'tree_method': 'gpu_hist', 'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 2.0, 'n_estimators': 5000, 'min_child_weight': 10, 'max_depth': 2, 'learning_rate': 0.001, 'gamma': 0.3, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6}",,,,,,,,,,,,,84
4,0.008755135536193847,0.0036738597913388315,0.0,0.0,gpu_hist,0.9,10.0,5.0,1000,3,6,0.0005,0.3,1.0,1.0,"{'tree_method': 'gpu_hist', 'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 5.0, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.0005, 'gamma': 0.3, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0}",,,,,,,,,,,,,84
5,0.8060201644897461,0.26459132235638055,0.0029547452926635743,0.0012507835159477857,hist,0.9,1.5,5.0,1000,5,5,0.01,0.0,1.0,1.0,"{'tree_method': 'hist', 'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 5.0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0}",-0.0016241157511487612,-0.015771642709498046,-0.0020370137518031274,-0.00017096839093866327,-6.459645545878821e-05,-0.00017087787641183926,-0.0002085385590637242,-0.06498040606358675,-1.6415755782866684e-05,-6.241362067344635e-06,-0.00850508166757599,0.01937711877479502,21
6,0.009418106079101563,0.0037406200489371933,0.0,0.0,gpu_hist,0.7,10.0,1.0,1000,5,7,0.01,0.01,1.0,0.6,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 1.0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.01, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6}",,,,,,,,,,,,,84
7,0.008805346488952637,0.004623765248991167,0.0,0.0,gpu_hist,0.6,0.5,5.0,5000,2,6,0.01,0.2,0.6,0.9,"{'tree_method': 'gpu_hist', 'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 5.0, 'n_estimators': 5000, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9}",,,,,,,,,,,,,84
8,0.008403372764587403,0.004516524325056025,0.0,0.0,gpu_hist,0.7,2.0,5.0,3000,1,4,0.01,0.01,1.0,0.6,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 5.0, 'n_estimators': 3000, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.01, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6}",,,,,,,,,,,,,84
9,0.007248997688293457,0.003968919017621581,0.0,0.0,gpu_hist,0.7,0.1,0.1,2000,5,3,0.001,0.0,0.8,0.8,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 2000, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8}",,,,,,,,,,,,,84
10,0.9151305913925171,0.23346083176778742,0.004207015037536621,0.0015292306396612182,hist,0.9,10.0,0.1,5000,7,7,0.01,0.1,0.5,1.0,"{'tree_method': 'hist', 'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 5000, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0}",-0.0006460300371193568,-0.014497849553695529,-0.0023596017529459172,-7.780474324613348e-05,-9.089832661788997e-05,-0.0001488221991692799,-0.00017236904692832,-0.06197089621528088,-3.790771449154869e-05,-2.870511707876338e-05,-0.008003088470657362,0.018482799788327807,15
11,0.888295578956604,0.22882664069892994,0.005091714859008789,0.0020403749024786475,hist,0.9,1.5,0.1,2000,1,3,0.001,0.05,0.5,1.0,"{'tree_method': 'hist', 'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 2000, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 0.05, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0}",-0.0006828175058644543,-0.014459101222309631,-0.002883571531120775,-6.244157622937107e-05,-0.00024391379261555962,-0.00047361467580077073,-0.00046047524783621337,-0.06562292962158195,-0.0004120036538605342,-0.0004064915846441779,-0.008570736041186343,0.019469142984588326,23
12,0.011171460151672363,0.006855441594180236,0.0,0.0,gpu_hist,1.0,1.0,0.1,3000,5,3,0.001,0.1,0.5,0.6,"{'tree_method': 'gpu_hist', 'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 3000, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 0.1, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6}",,,,,,,,,,,,,84
13,0.007777881622314453,0.004495362436022516,0.0,0.0,gpu_hist,0.6,0.1,0.1,2000,7,8,0.01,0.0,0.5,1.0,"{'tree_method': 'gpu_hist', 'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 2000, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0}",,,,,,,,,,,,,84
14,0.4285942316055298,0.12125760068499312,0.002268409729003906,0.0007798510068420972,hist,0.7,5.0,1.0,2000,10,6,0.01,0.05,0.8,0.6,"{'tree_method': 'hist', 'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 2000, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.05, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6}",-0.0007191761499596653,-0.014675061355885574,-0.0028614185427231014,-6.106882006687376e-05,-8.41978250945728e-05,-0.00013893809008636392,-0.00015668872195700523,-0.06201700311480017,-2.7032524970556177e-05,-1.8435654074830314e-05,-0.00807590207996187,0.018487900994850318,17
15,1.827829074859619,0.8426988293113598,0.008033967018127442,0.005283416153645118,approx,0.9,1.5,0.0,3000,5,5,0.0005,0.1,0.6,0.6,"{'tree_method': 'approx', 'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 3000, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.0005, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6}",-0.0010748672318496198,-0.016469324689791287,-0.003524555731894493,-5.534394799207938e-05,-0.0004416578024157881,-0.0006852618527019622,-0.001004813542501123,-0.07148470151366638,-0.001137601319341721,-0.0010733820960932934,-0.009695150972824775,0.021116446575040474,46
16,0.008080649375915527,0.0039606011261802306,0.0,0.0,gpu_hist,0.7,5.0,5.0,2000,1,6,0.0001,0.1,0.7,0.8,"{'tree_method': 'gpu_hist', 'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 2000, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.0001, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8}",,,,,,,,,,,,,84
17,0.007607650756835937,0.004203273828931821,0.0,0.0,gpu_hist,0.8,1.0,0.5,5000,10,9,0.01,0.05,0.9,1.0,"{'tree_method': 'gpu_hist', 'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 5000, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.05, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0}",,,,,,,,,,,,,84
